,busID,ProximaParada,Ruta,Orientacion,rangoHora,tiempoRecorrido
0,3433,242,2098,1.0,2.0,856.0
1,3433,242,2098,1.0,5.0,636.0
2,3984,156,2678,1.0,5.0,96.0
3,3984,156,2678,1.0,7.5,32.0
4,5517,248,2735,0.0,11.5,31.0
5,5517,248,2735,0.0,13.0,63.0
6,5517,248,2735,0.0,14.5,63.0
7,5517,248,2735,0.0,16.5,0.0
8,5517,248,2735,0.0,19.5,63.0
9,5517,248,2735,0.0,21.5,160.0
10,5517,248,2735,0.0,23.5,283.0
11,5517,248,2735,0.0,1.0,62.0
12,5517,248,2735,0.0,3.0,63.0
13,5517,248,2735,0.0,5.0,127.0
14,5517,248,2735,0.0,7.0,35.0
15,5517,248,2735,0.0,9.0,31.0
16,5517,248,2735,0.0,10.5,31.0
17,4790,85,382,1.0,2.0,94.0
18,4790,85,382,1.0,4.0,68.0
19,4790,85,382,1.0,9.0,93.0
20,6881,141,2319,1.0,18.0,32.0
21,6881,141,2319,1.0,19.0,0.0
22,5693,103,2004,1.0,20.0,61.0
23,5693,103,2004,1.0,0.0,31.0
24,5693,103,2004,1.0,4.0,30.0
25,5693,103,2004,1.0,10.0,0.0
26,4057,179,443,0.0,1.5,93.0
27,6437,166,2328,0.0,1.0,0.0
28,6437,166,2328,0.0,3.0,0.0
29,502,225,1585,1.0,17.0,0.0
30,502,225,1585,1.0,18.0,63.0
31,4538,29,1182,0.0,6.0,62.0
32,4538,29,1182,0.0,8.0,31.0
33,367,47,827,0.0,18.5,127.0
34,367,47,827,0.0,22.0,283.0
35,367,47,827,0.0,1.5,94.0
36,367,47,827,0.0,5.0,31.0
37,4772,81,239,0.0,16.0,31.0
38,4772,81,239,0.0,18.0,30.0
39,8856,283,3003,0.0,2.0,33.0
40,3913,119,2044,1.0,18.0,31.0
41,3913,119,2044,1.0,19.5,0.0
42,3913,119,2044,1.0,21.5,32.0
43,9509,37,1382,1.0,6.5,33.0
44,3825,107,2057,1.0,17.5,63.0
45,3825,107,2057,1.0,19.0,97.0
46,3825,107,2057,1.0,20.0,31.0
47,3825,107,2057,1.0,22.5,94.0
48,3825,107,2057,1.0,0.0,126.0
49,9527,151,2102,0.0,19.5,31.0
50,9527,151,2102,0.0,21.5,64.0
51,3735,263,2824,0.0,5.0,0.0
52,3735,263,2824,0.0,7.0,0.0
53,4472,148,2350,1.0,17.0,32.0
54,4331,75,202,0.0,17.5,0.0
55,4331,75,202,0.0,19.0,31.0
56,4331,75,202,0.0,0.0,32.0
57,4331,75,202,0.0,1.5,0.0
58,4331,75,202,0.0,4.5,0.0
59,4331,75,202,0.0,6.0,94.0
60,4331,75,202,0.0,7.0,95.0
61,4331,75,202,0.0,8.0,0.0
62,559,267,2851,1.0,23.5,63.0
63,559,267,2851,1.0,2.0,30.0
64,381,51,1114,0.0,4.0,33.0
65,381,51,1114,0.0,6.5,0.0
66,7066,170,660,1.0,16.5,31.0
67,7066,170,660,1.0,18.0,63.0
68,271,58,1937,1.0,11.0,847.0
69,3723,271,2909,0.0,11.5,0.0
70,3723,271,2909,0.0,3.5,126.0
71,3723,271,2909,0.0,5.5,126.0
72,5154,136,2267,0.0,7.0,32.0
73,4203,143,2346,1.0,9.5,32.0
74,7818,73,190,0.0,17.5,31.0
75,7818,73,190,0.0,21.0,31.0
76,6340,139,2222,0.0,6.5,200.0
77,563,281,2973,1.0,1.0,63.0
78,563,281,2973,1.0,4.0,222.0
79,2756,223,696,0.0,18.5,155.0
80,8059,149,2171,1.0,18.5,32.0
81,4514,9,1462,1.0,18.5,64.0
82,4514,9,1462,1.0,21.0,0.0
83,4514,9,1462,1.0,23.5,32.0
84,4514,9,1462,1.0,2.0,31.0
85,4514,9,1462,1.0,4.0,31.0
86,3206,300,2059,1.0,19.0,222.0
87,5830,95,2007,0.0,18.0,95.0
88,4146,248,2731,0.0,4.0,63.0
89,4146,248,2731,0.0,6.0,65.0
90,4146,248,2731,0.0,10.0,63.0
91,4835,5,1527,0.0,18.0,126.0
92,4835,5,1527,0.0,21.5,0.0
93,613,270,2900,1.0,3.0,156.0
94,613,270,2900,1.0,5.5,93.0
95,4723,90,76,1.0,17.0,31.0
96,4723,90,76,1.0,17.5,127.0
97,4723,90,76,1.0,19.5,95.0
98,4723,90,76,1.0,22.0,126.0
99,4723,90,76,1.0,22.0,96.0
100,4723,90,76,1.0,0.5,0.0
101,4723,90,76,1.0,3.0,187.0
102,4723,90,76,1.0,5.0,0.0
103,4723,90,76,1.0,5.5,127.0
104,4723,90,76,1.0,7.5,0.0
105,4723,90,76,1.0,7.5,64.0
106,4869,17,1052,1.0,23.0,96.0
107,4869,17,1052,1.0,1.5,94.0
108,4869,17,1052,1.0,3.0,63.0
109,2731,222,400,0.0,17.5,31.0
110,2731,222,400,0.0,20.0,63.0
111,3149,227,1571,1.0,18.0,61.0
112,4215,139,2662,0.0,20.0,222.0
113,4215,139,2662,0.0,8.5,63.0
114,525,264,2845,0.0,20.5,63.0
115,6055,88,1849,0.0,11.0,63.0
